sunny slonecznie
rainy deszczowo
warm cieplo
hot goraco
hail grad
drizzle mzawka
snow snieg
cloud chmura
cloudy pochmurno
cold zimno
temperature temperatura
rainbow tecza
wind wiatr
winter zima
summer lato
autumn jesien
spring wiosna
sun slonce
moon ksiezyc
storm burza
tornado tornado
weather pogoda
forecast prognoza
sky niebo
rain deszcz
snowy snieznie
degrees stopnie
celcius celcjusza
dark ciemno
fog mgla
hurricane wichura
windy wietrznie
stormy burzowo
foggy mgliscie
